fonksiyon,argumanlar,security_definer,govde_ozeti
admin_booking_daily,p_days integer,true,49185436c13df494c4fd6ae26023e233
admin_booking_summary,p_days integer,true,3b2ff2cf8755a1f84ad6794c79f21880
admin_funnel_client,,true,1918456fafdf4feff5f5789b32920d55
admin_funnel_professional,,true,7f19b2eed5504efea2e3579ee16e8385
admin_ops_application_response,p_days integer,true,135d7c39daec7c1fe3b79b61af2f5d73
admin_ops_listing_to_first_app,p_days integer,true,083ddb24fc26f3a99156ccb0e0a25e92
admin_ops_message_response,p_days integer,true,5cbe4d9cdbf51dfbfc7c4aa0bd890d49
admin_queue_counts,,true,74bdd0a98ed6b33c0d92a24d8965ad20
admin_recent_actions,p_limit integer,true,7eb42aae47fbfab61a61a6653b81d404
admin_report_stats,,true,640626097ba5a227c37065cbdf24d948
admin_retention_incomplete_pros,,true,b12e14145953fdbb653f2a3469fd76e6
admin_retention_listings_no_apps,,true,977b554515630ca1d110299534da6d6f
admin_retention_pros_no_apps,,true,c849fed28950698aa0f4e42e2140bd21
admin_stats_active_categories,,true,e5c9f38fe52f8fb9f367f909f3ceef76
admin_stats_active_users,,true,921e28381e14527789e35c74533305ad
admin_stats_categories,,true,827a6071664413eb86c4093c7b7d350d
admin_stats_cities,,true,ead818298738ba55b51e4bf1ddb77203
admin_stats_messages,p_days integer,true,ceebbfb14f23a70697fdeb07ae691ea4
admin_stats_quotes,,true,d40061b87f93ad32dd1814201c3adcee
admin_stats_registrations,p_days integer,true,6406db0405ce168159130a33d72a7ce9
admin_stats_supply_demand_category,,true,75e6dddd7d19106966f24049e34d468b
admin_stats_supply_demand_city,,true,aa3e60d9089e62772d2645af2d825b93
admin_stats_top_favorited,,true,44d35228a326a3a39547d0a77da80ace
admin_stats_top_rated,,true,ba1f40f9747fc87c965190eda3fd0f34
admin_stats_top_viewed,,true,9e7fe17ac29a397f8a370cb355b0e500
admin_stats_weekly_compare,,true,9f01da531efa6ed39f4c4d9f5695dfca
admin_stats_weekly_trend,,true,c52b325edefd8a6413fa0bda5b0325d2
deal_confirmed_customer_ids,"p_professional uuid, p_customers uuid[]",true,96b1f5727a2a13f8c74c8a53ee2bc2ef
delete_push_subscription_by_endpoint,target_endpoint text,true,060a0ed013478777a27e7f5ef612b36a
fn_assignee_added_message,,true,e4b0a1f3991843105c076d1b6ed57e16
fn_assignee_removed_message,,true,a64e7bde2a08ad258fd02a52c3f27e4e
fn_remove_assignments_on_leave,,true,df87b06c87db9dc171d010838218081e
get_push_subscriptions_for_user,target_user_id uuid,true,789975be4f6cbb06ad7f2a1bae229983
handle_new_user,,true,944b43aa5a609d24f9b6a36de14edfb4
handle_updated_at,,false,ef5c2b2ed14a638cef194e78bee463ac
has_business_role,"p_business_id uuid, p_min_role business_member_role",true,7f0fae386468ad46b21bc35b86ac1634
has_business_role_on_request,"p_request_id uuid, p_min_role business_member_role",true,3ab6305cbc82e3b39111b57d94b182c7
increment_profile_views,profile_id_param uuid,true,7e93312591535e9a98a56bd4ee60f8f0
is_admin,uid uuid,true,ee3cf23d459a1731aeca27aa2ca8198b
is_assignee,"conv_id uuid, uid uuid",true,f72f52b91df44092fb3e8ecc113ce954
is_business_member,p_business_id uuid,true,1005bf42afd6bf33b27e4f3a91713962
is_business_member_of_request,p_request_id uuid,true,19c401628c639ab3e17b8d8b201ae548
is_professional_or_agency,uid uuid,true,efe438166ea795bff0d7ad8e1ca147e7
listing_application_counts,listing_ids uuid[],true,ba28590008eb414ea9a58c0efd99bb12
notify_new_message,,true,99b58e8c700672756fcecb4df54ae91e
notify_new_review,,true,998c2701f1c8bd4dfb2eb3b9083ee014
notify_quote_request_recipients,"recipient_ids uuid[], notif_link text",true,0c2635273e866962e9eb84f3850563f3
notify_review_reply,,true,8844f76c698b07270d3b5e305cc67d7f
on_agency_invitation_accepted_add_member,,true,e6fdd4ba06c8b64c3789b43eb9061d7b
on_agency_invitation_insert_notify,,true,55c379e0e5e682482495a1308db766a6
on_agency_member_insert_notify_agency,,true,f2840807482702a22b78b9e06187c590
on_application_insert_notify_owner,,true,a7d2d55338c67c13cff9f83424414d20
on_application_status_change_notify_applicant,,true,a2380652f331b3158f7033fd0323cb4c
on_business_invitation_accepted_add_member,,true,b2e988ae2267a40895c223124324d118
on_business_invitation_insert_notify,,true,4f3c4e1c4a67a5769ce7f3d08dda5d44
on_business_member_insert_notify_business,,true,8712fdea196a9e3d99ac132267780e5e
on_quote_accepted_create_booking,,true,6cc84b81345718c68bc41340deaeee3c
on_quote_insert_notify_customer,,true,9056988e2232ef3ba0632a7ca06c86a4
on_quote_responded_notify_professional,,true,edc135779019b42a0bc80c62ea18cd73
on_quote_status_change_post_system_message,,true,d8a8a12072c469cd84ce4b1111851c03
owns_quote_request,"req_id uuid, uid uuid",true,302da9a4ba19c2a352403bea36144d00
protect_sensitive_profile_fields,,true,2026fda3aa0107ee6cbc853d5771e9b2
set_blog_posts_updated_at,,false,efcf1aef3ed25c41e7c3162102456472
set_listing_published_at,,true,9878902b9d667c9e8f976fa0770ff811
touch_review_updated_at,,false,7ec7b93209c0b3335bf3b1319cbaf627
update_conversation_last_message_at,,true,9a3e0e1d0216250165f46abf3c92c562
update_updated_at_column,,false,b3a966fa88bdacdafefb2ff2b8b8779a
validate_agency_membership_roles,,false,3c7602721b836c7b6d9818ceccdf3f2c
validate_business_membership_roles,,false,bfcdca34ee1e3b6b219f54ad666dd08e
