tablename,indexname,indexdef
admin_audit_log,admin_audit_log_pkey,CREATE UNIQUE INDEX admin_audit_log_pkey ON public.admin_audit_log USING btree (id)
admin_audit_log,idx_admin_audit_admin,CREATE INDEX idx_admin_audit_admin ON public.admin_audit_log USING btree (admin_id)
admin_audit_log,idx_admin_audit_created,CREATE INDEX idx_admin_audit_created ON public.admin_audit_log USING btree (created_at DESC)
agency_invitations,agency_invitations_agency_id_idx,CREATE INDEX agency_invitations_agency_id_idx ON public.agency_invitations USING btree (agency_id)
agency_invitations,agency_invitations_expires_at_idx,CREATE INDEX agency_invitations_expires_at_idx ON public.agency_invitations USING btree (expires_at) WHERE (status = 'pending'::agency_invitation_status)
agency_invitations,agency_invitations_invited_email_idx,CREATE INDEX agency_invitations_invited_email_idx ON public.agency_invitations USING btree (invited_email)
agency_invitations,agency_invitations_invited_user_id_idx,CREATE INDEX agency_invitations_invited_user_id_idx ON public.agency_invitations USING btree (invited_user_id) WHERE (invited_user_id IS NOT NULL)
agency_invitations,agency_invitations_pkey,CREATE UNIQUE INDEX agency_invitations_pkey ON public.agency_invitations USING btree (id)
agency_invitations,agency_invitations_status_idx,CREATE INDEX agency_invitations_status_idx ON public.agency_invitations USING btree (status) WHERE (status = 'pending'::agency_invitation_status)
agency_invitations,no_duplicate_pending_invitation,"CREATE INDEX no_duplicate_pending_invitation ON public.agency_invitations USING btree (agency_id, invited_email) WHERE (status = 'pending'::agency_invitation_status)"
agency_members,agency_members_agency_id_idx,CREATE INDEX agency_members_agency_id_idx ON public.agency_members USING btree (agency_id)
agency_members,agency_members_agency_id_professional_id_key,"CREATE UNIQUE INDEX agency_members_agency_id_professional_id_key ON public.agency_members USING btree (agency_id, professional_id)"
agency_members,agency_members_member_role_idx,CREATE INDEX agency_members_member_role_idx ON public.agency_members USING btree (member_role)
agency_members,agency_members_pkey,CREATE UNIQUE INDEX agency_members_pkey ON public.agency_members USING btree (id)
agency_members,agency_members_professional_id_idx,CREATE INDEX agency_members_professional_id_idx ON public.agency_members USING btree (professional_id)
applications,applications_applicant_id_idx,CREATE INDEX applications_applicant_id_idx ON public.applications USING btree (applicant_id)
applications,applications_created_at_idx,CREATE INDEX applications_created_at_idx ON public.applications USING btree (created_at DESC)
applications,applications_listing_id_applicant_id_key,"CREATE UNIQUE INDEX applications_listing_id_applicant_id_key ON public.applications USING btree (listing_id, applicant_id)"
applications,applications_listing_id_idx,CREATE INDEX applications_listing_id_idx ON public.applications USING btree (listing_id)
applications,applications_pkey,CREATE UNIQUE INDEX applications_pkey ON public.applications USING btree (id)
applications,applications_status_idx,CREATE INDEX applications_status_idx ON public.applications USING btree (status)
availability_blocks,availability_blocks_pkey,CREATE UNIQUE INDEX availability_blocks_pkey ON public.availability_blocks USING btree (id)
availability_blocks,availability_blocks_profile_id_blocked_date_key,"CREATE UNIQUE INDEX availability_blocks_profile_id_blocked_date_key ON public.availability_blocks USING btree (profile_id, blocked_date)"
availability_blocks,idx_availability_blocks_profile,"CREATE INDEX idx_availability_blocks_profile ON public.availability_blocks USING btree (profile_id, blocked_date)"
blog_posts,blog_posts_pkey,CREATE UNIQUE INDEX blog_posts_pkey ON public.blog_posts USING btree (id)
blog_posts,blog_posts_slug_idx,CREATE INDEX blog_posts_slug_idx ON public.blog_posts USING btree (slug)
blog_posts,blog_posts_slug_key,CREATE UNIQUE INDEX blog_posts_slug_key ON public.blog_posts USING btree (slug)
blog_posts,blog_posts_status_published_idx,"CREATE INDEX blog_posts_status_published_idx ON public.blog_posts USING btree (status, published_at DESC)"
bookings,bookings_conversation_id_idx,CREATE INDEX bookings_conversation_id_idx ON public.bookings USING btree (conversation_id)
bookings,bookings_customer_id_idx,CREATE INDEX bookings_customer_id_idx ON public.bookings USING btree (customer_id)
bookings,bookings_event_date_idx,CREATE INDEX bookings_event_date_idx ON public.bookings USING btree (event_date) WHERE (event_date IS NOT NULL)
bookings,bookings_pkey,CREATE UNIQUE INDEX bookings_pkey ON public.bookings USING btree (id)
bookings,bookings_professional_id_idx,CREATE INDEX bookings_professional_id_idx ON public.bookings USING btree (professional_id)
bookings,bookings_quote_id_key,CREATE UNIQUE INDEX bookings_quote_id_key ON public.bookings USING btree (quote_id)
bookings,bookings_status_idx,CREATE INDEX bookings_status_idx ON public.bookings USING btree (status)
bookings,idx_bookings_customer,CREATE INDEX idx_bookings_customer ON public.bookings USING btree (customer_id)
bookings,idx_bookings_event_date,CREATE INDEX idx_bookings_event_date ON public.bookings USING btree (event_date)
bookings,idx_bookings_professional,CREATE INDEX idx_bookings_professional ON public.bookings USING btree (professional_id)
bookings,idx_bookings_status,CREATE INDEX idx_bookings_status ON public.bookings USING btree (status)
business_invitations,business_invitations_business_id_idx,CREATE INDEX business_invitations_business_id_idx ON public.business_invitations USING btree (business_id)
business_invitations,business_invitations_expires_at_idx,CREATE INDEX business_invitations_expires_at_idx ON public.business_invitations USING btree (expires_at) WHERE (status = 'pending'::business_invitation_status)
business_invitations,business_invitations_invited_email_idx,CREATE INDEX business_invitations_invited_email_idx ON public.business_invitations USING btree (invited_email)
business_invitations,business_invitations_invited_user_id_idx,CREATE INDEX business_invitations_invited_user_id_idx ON public.business_invitations USING btree (invited_user_id) WHERE (invited_user_id IS NOT NULL)
business_invitations,business_invitations_pkey,CREATE UNIQUE INDEX business_invitations_pkey ON public.business_invitations USING btree (id)
business_invitations,business_invitations_status_idx,CREATE INDEX business_invitations_status_idx ON public.business_invitations USING btree (status) WHERE (status = 'pending'::business_invitation_status)
business_invitations,no_duplicate_pending_business_invitation,"CREATE INDEX no_duplicate_pending_business_invitation ON public.business_invitations USING btree (business_id, invited_email) WHERE (status = 'pending'::business_invitation_status)"
business_members,business_members_business_id_idx,CREATE INDEX business_members_business_id_idx ON public.business_members USING btree (business_id)
business_members,business_members_business_id_member_user_id_key,"CREATE UNIQUE INDEX business_members_business_id_member_user_id_key ON public.business_members USING btree (business_id, member_user_id)"
business_members,business_members_member_role_idx,CREATE INDEX business_members_member_role_idx ON public.business_members USING btree (member_role)
business_members,business_members_member_user_id_idx,CREATE INDEX business_members_member_user_id_idx ON public.business_members USING btree (member_user_id)
business_members,business_members_pkey,CREATE UNIQUE INDEX business_members_pkey ON public.business_members USING btree (id)
category_requests,category_requests_pkey,CREATE UNIQUE INDEX category_requests_pkey ON public.category_requests USING btree (id)
category_requests,idx_category_requests_created,CREATE INDEX idx_category_requests_created ON public.category_requests USING btree (created_at DESC)
category_requests,idx_category_requests_name_lower,CREATE INDEX idx_category_requests_name_lower ON public.category_requests USING btree (lower(category_name))
category_requests,idx_category_requests_status,CREATE INDEX idx_category_requests_status ON public.category_requests USING btree (status)
category_requests,idx_category_requests_user,CREATE INDEX idx_category_requests_user ON public.category_requests USING btree (user_id)
conversation_assignees,conversation_assignees_conversation_id_professional_id_key,"CREATE UNIQUE INDEX conversation_assignees_conversation_id_professional_id_key ON public.conversation_assignees USING btree (conversation_id, professional_id)"
conversation_assignees,conversation_assignees_pkey,CREATE UNIQUE INDEX conversation_assignees_pkey ON public.conversation_assignees USING btree (id)
conversation_assignees,idx_conv_assignees_conversation,CREATE INDEX idx_conv_assignees_conversation ON public.conversation_assignees USING btree (conversation_id)
conversation_assignees,idx_conv_assignees_professional,CREATE INDEX idx_conv_assignees_professional ON public.conversation_assignees USING btree (professional_id)
conversations,conversations_pkey,CREATE UNIQUE INDEX conversations_pkey ON public.conversations USING btree (id)
conversations,conversations_unique_pair,"CREATE UNIQUE INDEX conversations_unique_pair ON public.conversations USING btree (customer_id, professional_id)"
conversations,idx_conversations_customer,"CREATE INDEX idx_conversations_customer ON public.conversations USING btree (customer_id, last_message_at DESC)"
conversations,idx_conversations_professional,"CREATE INDEX idx_conversations_professional ON public.conversations USING btree (professional_id, last_message_at DESC)"
favorites,favorites_created_at_idx,CREATE INDEX favorites_created_at_idx ON public.favorites USING btree (created_at DESC)
favorites,favorites_pkey,CREATE UNIQUE INDEX favorites_pkey ON public.favorites USING btree (id)
favorites,favorites_professional_id_idx,CREATE INDEX favorites_professional_id_idx ON public.favorites USING btree (professional_id)
favorites,favorites_user_id_idx,CREATE INDEX favorites_user_id_idx ON public.favorites USING btree (user_id)
favorites,favorites_user_id_professional_id_key,"CREATE UNIQUE INDEX favorites_user_id_professional_id_key ON public.favorites USING btree (user_id, professional_id)"
listing_invitations,listing_invitations_inviter_idx,CREATE INDEX listing_invitations_inviter_idx ON public.listing_invitations USING btree (inviter_id)
listing_invitations,listing_invitations_listing_idx,CREATE INDEX listing_invitations_listing_idx ON public.listing_invitations USING btree (listing_id)
listing_invitations,listing_invitations_pkey,CREATE UNIQUE INDEX listing_invitations_pkey ON public.listing_invitations USING btree (id)
listing_invitations,listing_invitations_professional_idx,CREATE INDEX listing_invitations_professional_idx ON public.listing_invitations USING btree (professional_id)
listing_invitations,listing_invitations_status_idx,CREATE INDEX listing_invitations_status_idx ON public.listing_invitations USING btree (status) WHERE (status = 'pending'::listing_invitation_status)
listing_invitations,no_duplicate_pending_listing_invite,"CREATE INDEX no_duplicate_pending_listing_invite ON public.listing_invitations USING btree (listing_id, professional_id) WHERE (status = 'pending'::listing_invitation_status)"
listings,idx_listings_featured_category,CREATE INDEX idx_listings_featured_category ON public.listings USING btree (featured_category_until)
listings,idx_listings_featured_home,CREATE INDEX idx_listings_featured_home ON public.listings USING btree (featured_home_until)
listings,listings_category_id_idx,CREATE INDEX listings_category_id_idx ON public.listings USING btree (category_id)
listings,listings_city_id_idx,CREATE INDEX listings_city_id_idx ON public.listings USING btree (city_id) WHERE (city_id IS NOT NULL)
listings,listings_creator_id_idx,CREATE INDEX listings_creator_id_idx ON public.listings USING btree (creator_id)
listings,listings_event_date_idx,CREATE INDEX listings_event_date_idx ON public.listings USING btree (event_date) WHERE (event_date IS NOT NULL)
listings,listings_expires_at_idx,CREATE INDEX listings_expires_at_idx ON public.listings USING btree (expires_at) WHERE ((status = 'published'::listing_status) AND (expires_at IS NOT NULL))
listings,listings_pkey,CREATE UNIQUE INDEX listings_pkey ON public.listings USING btree (id)
listings,listings_published_at_idx,CREATE INDEX listings_published_at_idx ON public.listings USING btree (published_at DESC) WHERE (status = 'published'::listing_status)
listings,listings_status_idx,CREATE INDEX listings_status_idx ON public.listings USING btree (status) WHERE (status = 'published'::listing_status)
message_violations,idx_message_violations_conv,CREATE INDEX idx_message_violations_conv ON public.message_violations USING btree (conversation_id)
message_violations,idx_message_violations_time,CREATE INDEX idx_message_violations_time ON public.message_violations USING btree (attempted_at DESC)
message_violations,idx_message_violations_user,CREATE INDEX idx_message_violations_user ON public.message_violations USING btree (user_id)
message_violations,message_violations_pkey,CREATE UNIQUE INDEX message_violations_pkey ON public.message_violations USING btree (id)
messages,idx_messages_conversation,"CREATE INDEX idx_messages_conversation ON public.messages USING btree (conversation_id, created_at)"
messages,idx_messages_email_pending,CREATE INDEX idx_messages_email_pending ON public.messages USING btree (created_at) WHERE ((email_notified_at IS NULL) AND (read_at IS NULL))
messages,idx_messages_unread,"CREATE INDEX idx_messages_unread ON public.messages USING btree (conversation_id, sender_id) WHERE (read_at IS NULL)"
messages,messages_pkey,CREATE UNIQUE INDEX messages_pkey ON public.messages USING btree (id)
messages,messages_quote_id_idx,CREATE INDEX messages_quote_id_idx ON public.messages USING btree (quote_id) WHERE (quote_id IS NOT NULL)
messages,messages_type_idx,CREATE INDEX messages_type_idx ON public.messages USING btree (message_type) WHERE (message_type <> 'text'::message_type)
notifications,idx_notifications_email_sent_at,CREATE INDEX idx_notifications_email_sent_at ON public.notifications USING btree (email_sent_at)
notifications,notifications_created_at_idx,CREATE INDEX notifications_created_at_idx ON public.notifications USING btree (created_at DESC)
notifications,notifications_pkey,CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)
notifications,notifications_user_id_idx,CREATE INDEX notifications_user_id_idx ON public.notifications USING btree (user_id)
notifications,notifications_user_unread_idx,"CREATE INDEX notifications_user_unread_idx ON public.notifications USING btree (user_id, read_at) WHERE (read_at IS NULL)"
portfolio_items,idx_portfolio_profile,CREATE INDEX idx_portfolio_profile ON public.portfolio_items USING btree (profile_id)
portfolio_items,portfolio_items_pkey,CREATE UNIQUE INDEX portfolio_items_pkey ON public.portfolio_items USING btree (id)
profile_experiences,idx_profile_experiences_profile_kind_sort,"CREATE INDEX idx_profile_experiences_profile_kind_sort ON public.profile_experiences USING btree (profile_id, kind, sort_order)"
profile_experiences,profile_experiences_pkey,CREATE UNIQUE INDEX profile_experiences_pkey ON public.profile_experiences USING btree (id)
profiles,idx_profiles_category_attributes_gin,CREATE INDEX idx_profiles_category_attributes_gin ON public.profiles USING gin (category_attributes jsonb_path_ops)
profiles,idx_profiles_city,CREATE INDEX idx_profiles_city ON public.profiles USING btree (city_id) WHERE (is_published = true)
profiles,idx_profiles_is_admin,CREATE INDEX idx_profiles_is_admin ON public.profiles USING btree (is_admin) WHERE (is_admin = true)
profiles,idx_profiles_premium,"CREATE INDEX idx_profiles_premium ON public.profiles USING btree (premium_tier, premium_until)"
profiles,idx_profiles_primary_category,CREATE INDEX idx_profiles_primary_category ON public.profiles USING btree (primary_category_id) WHERE (is_published = true)
profiles,idx_profiles_published,CREATE INDEX idx_profiles_published ON public.profiles USING btree (is_published) WHERE (is_published = true)
profiles,idx_profiles_slug,CREATE INDEX idx_profiles_slug ON public.profiles USING btree (slug) WHERE (slug IS NOT NULL)
profiles,idx_profiles_suspended,CREATE INDEX idx_profiles_suspended ON public.profiles USING btree (suspended_at) WHERE (suspended_at IS NOT NULL)
profiles,profiles_email_idx,CREATE INDEX profiles_email_idx ON public.profiles USING btree (email)
profiles,profiles_email_key,CREATE UNIQUE INDEX profiles_email_key ON public.profiles USING btree (email)
profiles,profiles_last_seen_at_idx,CREATE INDEX profiles_last_seen_at_idx ON public.profiles USING btree (last_seen_at DESC)
profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
profiles,profiles_role_idx,CREATE INDEX profiles_role_idx ON public.profiles USING btree (role)
profiles,profiles_slug_key,CREATE UNIQUE INDEX profiles_slug_key ON public.profiles USING btree (slug)
