tablename,policyname,cmd,roller,qual,with_check
portfolio_items,portfolio_admin_read,SELECT,{public},"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.is_admin = true))))",null
portfolio_items,portfolio_delete_own,DELETE,{public},(auth.uid() = profile_id),null
portfolio_items,portfolio_insert_own,INSERT,{public},null,(auth.uid() = profile_id)
portfolio_items,portfolio_read_own,SELECT,{public},(auth.uid() = profile_id),null
portfolio_items,portfolio_read_published,SELECT,{public},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = portfolio_items.profile_id) AND (profiles.is_published = true))))",null
portfolio_items,portfolio_update_own,UPDATE,{public},(auth.uid() = profile_id),null
profile_experiences,profile_experiences_admin_read,SELECT,{public},"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.is_admin = true))))",null
profile_experiences,profile_experiences_delete_own,DELETE,{public},(auth.uid() = profile_id),null
profile_experiences,profile_experiences_insert_own,INSERT,{public},null,(auth.uid() = profile_id)
profile_experiences,profile_experiences_read_own,SELECT,{public},(auth.uid() = profile_id),null
profile_experiences,profile_experiences_read_published,SELECT,{public},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = profile_experiences.profile_id) AND (profiles.is_published = true))))",null
profile_experiences,profile_experiences_update_own,UPDATE,{public},(auth.uid() = profile_id),null
profiles,Admins can update any profile,UPDATE,{authenticated},is_admin(auth.uid()),is_admin(auth.uid())
profiles,Profiles are viewable by everyone,SELECT,{public},true,null
profiles,Users can delete own profile,DELETE,{public},(auth.uid() = id),null
profiles,Users can update own profile,UPDATE,{public},(auth.uid() = id),null
profiles,profiles_read_published,SELECT,{public},(is_published = true),null
push_subscriptions,Users can delete own push subscriptions,DELETE,{public},(auth.uid() = user_id),null
push_subscriptions,Users can insert own push subscriptions,INSERT,{public},null,(auth.uid() = user_id)
push_subscriptions,Users can view own push subscriptions,SELECT,{public},(auth.uid() = user_id),null
quote_request_recipients,Admins see all recipients,SELECT,{authenticated},is_admin(auth.uid()),null
quote_request_recipients,Business members read team request recipients,SELECT,{authenticated},is_business_member_of_request(request_id),null
quote_request_recipients,Customers add recipients to own requests,INSERT,{public},null,"(owns_quote_request(request_id, auth.uid()) OR has_business_role_on_request(request_id, 'manager'::business_member_role))"
quote_request_recipients,Customers see recipients of own requests,SELECT,{authenticated},"owns_quote_request(request_id, auth.uid())",null
quote_request_recipients,Recipients see own recipient rows,SELECT,{authenticated},(professional_id = auth.uid()),null
quote_request_recipients,Recipients update own status,UPDATE,{authenticated},(professional_id = auth.uid()),(professional_id = auth.uid())
quote_requests,Admins see all quote requests,SELECT,{authenticated},is_admin(auth.uid()),null
