tablename,policyname,cmd,ifade_ozeti
admin_audit_log,Admins insert audit log,INSERT,84f461ef09107ae4ae8895a64dafbfc0
admin_audit_log,Admins read audit log,SELECT,46c9dd2bdb1e68bd5f15a9edf32a3436
agency_invitations,Agencies create invitations,INSERT,cc03994bddb702650617f8c255e43ad7
agency_invitations,Agency sees own invitations,SELECT,500a62be1c0e8971d693b15ae11a132c
agency_invitations,Invited user sees their invitations,SELECT,29d719f971bbcb5f309d3f4dec39c314
agency_invitations,Status updates by authorized parties,UPDATE,56eec3b64addfa681fc3b2fe9dee0fe3
agency_members,Agencies add members,INSERT,b81939ea7f173dd8243bfe0496626ca1
agency_members,Agency members are public,SELECT,b326b5062b2f0e69046810717534cb09
agency_members,Agency or member can remove,DELETE,b81939ea7f173dd8243bfe0496626ca1
agency_members,Agency or member updates,UPDATE,b81939ea7f173dd8243bfe0496626ca1
agency_members,agency_members_admin_read,SELECT,96c251e77a5b03c36834627dd706429d
applications,Authorized parties update applications,UPDATE,ce5cfe2228430fc41b1d3c755b6ee047
applications,Business managers see team applications,SELECT,5b9bb328422302f6764d56a2007fe014
applications,Listing owners see applications to their listings,SELECT,68e99cd7497929427d960bd7cffd5616
applications,Professionals see their own applications,SELECT,75cf81f67633836f51d01aa9ac55bb7a
applications,Pros and agencies apply to published listings,INSERT,e7f85bc10ad362236e7f5eabd3935094
availability_blocks,availability_blocks_admin_read,SELECT,96c251e77a5b03c36834627dd706429d
availability_blocks,availability_delete_own,DELETE,bc6097820b084f71d110a5f1d65d145a
availability_blocks,availability_insert_own,INSERT,bc6097820b084f71d110a5f1d65d145a
availability_blocks,availability_read_own,SELECT,bc6097820b084f71d110a5f1d65d145a
availability_blocks,availability_read_published,SELECT,2ea21470cb3b9c25d821d07238ca4e5d
blog_posts,blog_admin_delete,DELETE,c3da202e39a73212a82ad2cb224d83b4
blog_posts,blog_admin_insert,INSERT,c3da202e39a73212a82ad2cb224d83b4
blog_posts,blog_admin_read,SELECT,c3da202e39a73212a82ad2cb224d83b4
blog_posts,blog_admin_update,UPDATE,9fd94c4859ea2844f03d80e53ba66097
blog_posts,blog_public_read,SELECT,c4049f740cf3cb6bef18fb549aca569d
bookings,Assigned pros read team bookings,SELECT,e529a81ac37c5993820d67fc08f2debb
bookings,Bookings visible to participants,SELECT,7803273dfddb7223675cff7416cd932b
bookings,Business members read team bookings,SELECT,c5f6f40ff6f2c5c1c80cbafd840a0620
bookings,Customers read own bookings,SELECT,a6c8328aa60596ec22508bf8eb8edab6
bookings,Parties update own bookings,UPDATE,e4dd7f0cb44819ac3b456a9bf6a90f2b
bookings,Professionals read own bookings,SELECT,67f4a8fe489a4799b62803959f818dfd
business_invitations,Business invitation status updates by authorized parties,UPDATE,ad2baba82e3079ca287121ce10891f57
business_invitations,Business sees own invitations,SELECT,c37828532d5094b65b05b43ea400d033
business_invitations,Businesses create invitations,INSERT,f92b7cb7626ed3053f01239d23bf452f
business_invitations,Invited user sees their business invitations,SELECT,29d719f971bbcb5f309d3f4dec39c314
business_members,Business adds members,INSERT,f3fa7657bcb27b738b1b9930f0d31528
business_members,Business or member can remove,DELETE,f3fa7657bcb27b738b1b9930f0d31528
business_members,Business or member updates,UPDATE,f3fa7657bcb27b738b1b9930f0d31528
business_members,Business team visible to owner and members,SELECT,a7728721492039823cb664f9bdac763a
category_requests,Admins can update category requests,UPDATE,c290b60c9f02e7363cd7a689d5d85418
category_requests,Admins can view all category requests,SELECT,46c9dd2bdb1e68bd5f15a9edf32a3436
category_requests,Users can insert own category requests,INSERT,19300d155780585259ede73ac370586c
category_requests,Users can read own category requests,SELECT,19300d155780585259ede73ac370586c
conversation_assignees,conv_assignees_delete,DELETE,926d41d76c9db78170ec2e63e0c76256
conversation_assignees,conv_assignees_insert,INSERT,926d41d76c9db78170ec2e63e0c76256
conversation_assignees,conv_assignees_select,SELECT,a9d75649b8cd105829b1947e14c9b91e
conversations,Business members read team conversations,SELECT,c5f6f40ff6f2c5c1c80cbafd840a0620
conversations,Professionals create conversations as professional,INSERT,2fc1206cc23aea509e157a9a50890299
conversations,conversations_insert_customer,INSERT,7095d2e877132d1ade70cfdd3cd5ef2c
conversations,conversations_select_participant,SELECT,b69c3a189fdda57747fd8c783015a02c
conversations,conversations_update_owner,UPDATE,ec9db38cb617c6ab75b81a6bde7cf917
