tablo,conname,contype,tanim
admin_audit_log,admin_audit_log_admin_id_fkey,f,FOREIGN KEY (admin_id) REFERENCES profiles(id) ON DELETE SET NULL
admin_audit_log,admin_audit_log_pkey,p,PRIMARY KEY (id)
agency_invitations,agency_invitations_agency_id_fkey,f,FOREIGN KEY (agency_id) REFERENCES profiles(id) ON DELETE CASCADE
agency_invitations,agency_invitations_invitation_message_check,c,CHECK (((invitation_message IS NULL) OR (char_length(invitation_message) <= 1000)))
agency_invitations,agency_invitations_invited_by_id_fkey,f,FOREIGN KEY (invited_by_id) REFERENCES profiles(id) ON DELETE CASCADE
agency_invitations,agency_invitations_invited_email_check,c,"CHECK ((invited_email ~ '^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$'::text))"
agency_invitations,agency_invitations_invited_user_id_fkey,f,FOREIGN KEY (invited_user_id) REFERENCES profiles(id) ON DELETE SET NULL
agency_invitations,agency_invitations_pkey,p,PRIMARY KEY (id)
agency_invitations,no_duplicate_pending_invitation,x,"EXCLUDE USING btree (agency_id WITH =, invited_email WITH =) WHERE ((status = 'pending'::agency_invitation_status))"
agency_members,agency_members_agency_id_fkey,f,FOREIGN KEY (agency_id) REFERENCES profiles(id) ON DELETE CASCADE
agency_members,agency_members_agency_id_professional_id_key,u,"UNIQUE (agency_id, professional_id)"
agency_members,agency_members_pkey,p,PRIMARY KEY (id)
agency_members,agency_members_professional_id_fkey,f,FOREIGN KEY (professional_id) REFERENCES profiles(id) ON DELETE CASCADE
agency_members,no_self_membership,c,CHECK ((agency_id <> professional_id))
applications,applications_applicant_id_fkey,f,FOREIGN KEY (applicant_id) REFERENCES profiles(id) ON DELETE CASCADE
applications,applications_cover_message_check,c,CHECK (((char_length(cover_message) >= 20) AND (char_length(cover_message) <= 2000)))
applications,applications_listing_id_applicant_id_key,u,"UNIQUE (listing_id, applicant_id)"
applications,applications_listing_id_fkey,f,FOREIGN KEY (listing_id) REFERENCES listings(id) ON DELETE CASCADE
applications,applications_pkey,p,PRIMARY KEY (id)
applications,applications_proposed_amount_check,c,CHECK (((proposed_amount IS NULL) OR (proposed_amount >= (0)::numeric)))
availability_blocks,availability_blocks_pkey,p,PRIMARY KEY (id)
availability_blocks,availability_blocks_profile_id_blocked_date_key,u,"UNIQUE (profile_id, blocked_date)"
availability_blocks,availability_blocks_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
blog_posts,blog_posts_author_id_fkey,f,FOREIGN KEY (author_id) REFERENCES profiles(id) ON DELETE SET NULL
blog_posts,blog_posts_pkey,p,PRIMARY KEY (id)
blog_posts,blog_posts_slug_key,u,UNIQUE (slug)
blog_posts,blog_posts_status_check,c,"CHECK ((status = ANY (ARRAY['draft'::text, 'published'::text])))"
bookings,bookings_cancelled_by_fkey,f,FOREIGN KEY (cancelled_by) REFERENCES profiles(id)
bookings,bookings_conversation_id_fkey,f,FOREIGN KEY (conversation_id) REFERENCES conversations(id) ON DELETE CASCADE
bookings,bookings_customer_id_fkey,f,FOREIGN KEY (customer_id) REFERENCES profiles(id) ON DELETE CASCADE
bookings,bookings_event_type_check,c,"CHECK (((event_type IS NULL) OR (event_type = ANY (ARRAY['wedding'::text, 'engagement'::text, 'henna'::text, 'birthday'::text, 'baby_shower'::text, 'graduation'::text, 'circumcision'::text, 'corporate'::text, 'launch'::text, 'fair'::text, 'conference'::text, 'congress'::text, 'gala'::text, 'concert'::text, 'other'::text]))))"
bookings,bookings_pkey,p,PRIMARY KEY (id)
bookings,bookings_platform_fee_check,c,CHECK ((platform_fee >= (0)::numeric))
bookings,bookings_professional_id_fkey,f,FOREIGN KEY (professional_id) REFERENCES profiles(id) ON DELETE CASCADE
bookings,bookings_quote_id_fkey,f,FOREIGN KEY (quote_id) REFERENCES quotes(id) ON DELETE RESTRICT
bookings,bookings_quote_id_key,u,UNIQUE (quote_id)
bookings,bookings_total_amount_check,c,CHECK ((total_amount >= (0)::numeric))
business_invitations,business_invitations_business_id_fkey,f,FOREIGN KEY (business_id) REFERENCES profiles(id) ON DELETE CASCADE
business_invitations,business_invitations_invitation_message_check,c,CHECK (((invitation_message IS NULL) OR (char_length(invitation_message) <= 1000)))
business_invitations,business_invitations_invited_by_id_fkey,f,FOREIGN KEY (invited_by_id) REFERENCES profiles(id) ON DELETE CASCADE
business_invitations,business_invitations_invited_email_check,c,"CHECK ((invited_email ~ '^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$'::text))"
business_invitations,business_invitations_invited_user_id_fkey,f,FOREIGN KEY (invited_user_id) REFERENCES profiles(id) ON DELETE SET NULL
business_invitations,business_invitations_pkey,p,PRIMARY KEY (id)
business_invitations,no_duplicate_pending_business_invitation,x,"EXCLUDE USING btree (business_id WITH =, invited_email WITH =) WHERE ((status = 'pending'::business_invitation_status))"
business_members,business_members_business_id_fkey,f,FOREIGN KEY (business_id) REFERENCES profiles(id) ON DELETE CASCADE
business_members,business_members_business_id_member_user_id_key,u,"UNIQUE (business_id, member_user_id)"
business_members,business_members_member_user_id_fkey,f,FOREIGN KEY (member_user_id) REFERENCES profiles(id) ON DELETE CASCADE
business_members,business_members_pkey,p,PRIMARY KEY (id)
business_members,no_self_business_membership,c,CHECK ((business_id <> member_user_id))
category_requests,category_requests_pkey,p,PRIMARY KEY (id)
category_requests,category_requests_reviewed_by_fkey,f,FOREIGN KEY (reviewed_by) REFERENCES profiles(id) ON DELETE SET NULL
